Date,Text
Jun 162023,"SPX: S&P 500 Notches a Fresh 2023 High in Sixth Straight Session of WinsAll three major US stock indexes closed at their highest levels since 2022 as investors cheered the Fed hitting the pause button.The S&P 500 scored another closing high for the year, lifted by rising shares in virtually every one of its 11 sectors. In its sixth consecutive day of gains, the broad-based average added 1.22%, finishing the session at 4,425.84. The other two benchmarks moved higher, also closing at record highs for the year.The Dow Jones advanced 1.26% and the tech-heavy Nasdaq Composite popped 1.15% on the day. The strong performance comes a day after the Federal Reserve hit the pause button on its aggressive rate hike campaign. It did, however, signal two more hikes are on the horizon for the year.Further easing the pressure on stocks was fresh economic data. The Commerce Department on Thursday released its retail sales report, showing consumers spent boldly in May. A 0.3% rise in the month-on-month spending for May followed April’s strong 0.4% increase.Illustration by TradingView"
Jun 132023,"SPX: S&P 500 Breaks Above 4,330 to Hit a 52-week High“Can’t stop, won’t stop” – stock market bulls, probably, as they tear another resistance despite interest rates at a 16-year high.The S&P 500 is showing no signs of stopping as relentless buyers see more room to the upside. Just a week after the broad-based average entered a new bull market from its October low, it notched a fresh 52-week high of 4,338.93. What’s behind the rally and can it last?The spectacular run is largely built on an optimistic forecast about the US economy. Recession fears are gradually fading and investors expect upcoming data to cement what’s already being baked into prices – the Fed to hold its rate campaign as inflation fizzles out.Both the Fed and retreating inflation are the main attractions this week. Today’s consumer-price index data, regarded as the main gauge for inflation, is expected to land at 4.1% for May, lower than April’s 4.9%. Further, Fed chief Jay Powell gets on the podium Wednesday to update on the interest rate decision.Illustration by TradingView"
Jun 092023,"SPX: S&P 500 Makes It into Bull Market Territory Powered by Big Tech StocksThe broad-based index is riding high on just a few select winners – tech players Meta, Apple, Nvidia, Microsoft.The S&P 500 crossed into a bull market after exiting its longest bear-market slump since the 1940s. Wall Street’s broad average gained 0.6% on Thursday, led higher by AI-focused companies, which make up about 15% of the index. In addition, Apple, which gained 1.5%, makes up nearly 10% of the $35tn index.The benchmark average was in a bear market for 248 days before it topped 20% from its October low. While the gains are impressive in the context of current events like higher interest rates and inflation, investors need to thank the AI revolution that’s making all this possible.The Nasdaq Composite and the Dow Jones also advanced, notching gains of 1% and 0.5%, respectively. What’s ahead, however, will likely inject more uncertainty in the markets over the next few trading days. The Federal Reserve’s meeting next week will wrap up with an interest rate decision on Wednesday.Illustration by TradingView"
Jun 082023,"SPX: S&P 500 Slides From 2023 Record as Rate Hike Jitters Damp Market EnthusiasmA day after Australia’s central bank hiked rates, the Bank of Canada followed suit, thwarting the upside momentum.The S&P 500 declined on Wednesday, spiraling out of its bull-market rally. The broad-based index tumbled 0.38% to close just 1% shy of securing a 20% gain from its October 2022 low. The Dow finished the session in the green, while a tech stock sell-off dragged the Nasdaq under the flatline.Global efforts to boost interest rates ended up dousing out the market’s enthusiasm. Just a day after the Reserve Bank of Australia raised its policy rate to 4.1%, the Bank of Canada threw a curve ball with a 0.25% rate hike to a 22-year high of 4.75%, against expectations for a pause.US central bankers meet up on June 13-14 to decide whether it’s a good idea to lift rates further above the 5% to 5.25% threshold. Traders bet that this time Fed chair Jay Powell will keep interest rates unchanged. Any surprises and the market can catch fire pretty quickly.Illustration by TradingView"
Jun 012023,"SPX: S&P 500 Futures Flash Green as Wall Street Praises Debt Ceiling Bill ProgressThe US House overwhelmingly passed a bill to raise the borrowing limit, but investors’ eyes are now on Senate.Futures contracts tied to the S&P 500 were modestly positive early on Thursday. The US House of Representatives passed yesterday the keenly-watched debt ceiling bill, taking a huge step to avert an unprecedented government default. The debt-limit package was passed with 314-117 votes in favor.In pre-market trading today, the S&P 500 was up just over 0.20%. Its two peers, however, were floating just around the flatline as investors are now getting anxious over the second hurdle for the debt ceiling agreement. After the House, the lower chamber of Congress, passed the bill, the upper chamber is next.The bipartisan bill is headed to the Senate by the end of the week. A pass will raise the US $31.4tn debt ceiling for two years. Will US policymakers need to go through the same motion in two years? Perhaps. The current pact is essentially a debt deal that doesn’t deal with debt. Rather, it piles on more debt with no end to massive deficits in sight.Illustration by TradingView"
May 242023,"SPX: S&P 500 Tumbles 1% as No Debt Ceiling Progress Unnerves InvestorsAnother day of hollow negotiations over raising the US government’s borrowing limit keeps markets on edge.The S&P 500 index fell Tuesday after no real progress was made over the looming debt ceiling crisis. With no resolution yet in sight, money managers shifted to a risk-averse stance, leading the broad-based stock average lower by 1.12% on the day. Futures on Wednesday were pretty much unchanged.Worries of a potential default are widespread and causing market jitters. But let’s drill down for a second. Firstly, the US government has never tipped over the point of not being able to pay its debt obligations. It has been close, but every time the ceiling has been adjusted accordingly, i.e. lifted to allow more debt to pile.Presently, while a US default is unlikely, investors prefer to play it safe and follow the old-age adage that “past performance is not indicative of future results.” Still, the reality is that if Capitol Hill does not strike a debt-ceiling deal by June 1, the US government will default on its debt obligations for the first time in history.Maxim Hopman / Unsplash"
May 182023,"SPX: S&P 500 Gains More Than 1% as Debt-Ceiling Worries EaseIn other words, investors were hyped to see that the US is planning to take on more debt, going over its current limit of $31.4tn.The S&P 500 notched its best day in over two weeks as debt-ceiling jitters faded. After a string of wobbly negotiations between Republicans and Democrats, President Biden said on Wednesday there has been progress and that he was “confident” the US will avoid sinking into default.Investors were quick to scoop up shares of hammered companies, helping push Wall Street’s broad benchmark higher by 1.2% on Wednesday. Gains were echoed across the spectrum with the Dow Jones mirroring the pump with its own 1.2%. The Nasdaq Composite modestly outperformed by 1.3%.Banking stocks were among the biggest gainers. Western Alliance (ticker: WAL) rallied more than 10% on a fresh update highlighting deposits have been growing strong. Futures contracts tied to the major indexes are flat as investors have tamed down their excitement over the US government’s decision to dive further into debt.Saad Alfozan / Unsplash"
May 122023,"SPX: Stock Futures Mixed as Debt Ceiling Weighs on SentimentDebt ceiling woes and rekindled banking fires are on investors’ minds today.Futures contracts hugged the flatline early on Friday as finance bros were figuring out whether the US Congress will strike a debt ceiling deal. The more time it takes for policymakers to come up with a resolution, the more panic there will be across stocks from every market corner.In that context, S&P 500 futures were modestly green, alongside futures tied to the Dow Jones and the Nasdaq Composite. Both the broad-based S&P 500 and the 30-stock Dow finished Thursday’s session in the red, while the tech-dense Nasdaq advanced by a mere 0.2%.Meanwhile, banking tumult is back in fashion. Shares of PacWest Bancorp (ticker: PACW) tumbled 23% after a not-so-surprising 9.5% fall in deposits last week. The decline came after the regional bank released a report, saying it is on the lookout for a potential sale or a capital injection.Michael / Unsplash"
May 082023,"SPX: S&P 500 Futures Flash Green After Friday Rally Adds 1.9%It was a “Buy Everything” bonanza on Friday as investors mostly propped up shares of battered banks.Futures contracts tied to the S&P 500 were pointing to the upside on Monday as investors bet on a rally extension. Wall Street’s broad-based benchmark had a field day on Friday, gaining 75 points, or 1.9%, to snap a four-day losing streak. Shares flew across the board, with Apple (ticker: AAPL) adding 4.7%.The green-arrows filled day was a needed reprieve for one particular corner of the market. Regional banks bounced back with shares or PacWest (ticker: PACW) pumping a mouthwatering 82%. Western Alliance (ticker: WAL) ended 49% higher on the day. Both couldn’t make it in the green for what turned out to be a tumultuous week.Worries of financial contagion were largely put on the back-burner after data showed the US economy remains stubbornly strong. Despite 10 straight interest rate hikes from the Fed, America’s employers added 253,000 jobs in April, a surprise jump from March and a signal that the labor market is still resilient.tom coe /Unsplash"
Apr 262023,"SPX: S&P 500 Dragged Lower as Just Two Stocks Underlie Its PerformanceMegacap companies Microsoft and Apple contributed 2.3% of the index’s total gains of roughly 8% this year.The S&P 500 finished Tuesday’s session lower by 1.6%, after a torrent of disappointing earnings revealed the growth of the US economy might be coming to a screeching halt. First Republic Bank and United Parcel Service were among the biggest decliners yesterday.What’s more, JPMorgan’s equity analysts came out with some concerning figures to interrupt the market calm. They estimate that the S&P 500’s rally of 8% this year was largely underpinned by Microsoft and Apple alone, which contributed around 2.3%. They make up 13.4% of the index’s valuation.The earnings season continues today with more tech heavyweights lined up to report. Facebook parent Meta Platforms is on deck after the closing bell. Ecommerce and cloud computing juggernaut Amazon is on for a prime show tomorrow with its own financial data, followed by payments giant MasterCard.Illustration by TradingView"
Apr 172023,"SPX: Futures Mixed After 0.8% Weekly Gain in the S&P 500Stock futures pointed to a mixed open of a stacked week with reports from big names like Tesla and Netflix.US equity futures were a mixed bag in pre-market trading on Monday. The nuanced performance is coming on the heels of a 0.8% gain for the S&P 500 over the previous week. Now, corporate America is gearing up to churn out the financial reports of its biggest and brightest companies.On Friday, however, the S&P 500 tumbled, alongside its two peers Dow Jones and Nasdaq Composite. The broad-based decline ate into the weekly returns, but at least banks lifted the watermark. High-finance reps like JPMorgan and Citi posted profit and revenue gains, defying a crisis of confidence.All eyes are now on what’s coming next. On Wednesday, Tesla is revving up to deliver lofty revenue even after its price-slashing marathon over the past month. On Tuesday, streaming kingpin Netflix is about to unveil its first episode of a full three-month period with an ad-supported tier.Illustration by TradingView"
Apr 102023,"SPX: S&P 500 Steady as US Inflation, Earnings LoomBank stocks will kickstart the financial reporting this season while inflation figures arrive Wednesday.It’s the earnings season and bank stocks will be the first to reveal how American corporations trudged along in the first quarter of 2023. On deck to offload financial performance figures this week are JPMorgan, Wells Fargo, and Citigroup, among other financial firms.The kickoff to the corporate results will be a test for the S&P 500. Analysts are calling for another weak quarterly performance in S&P 500 companies. First-quarter profits are projected to drop 6.8% from the same time a year earlier. In other words, a corporate earnings recession. In addition, US inflation for March arrives Wednesday. The print is expected to show price pressures cooled to 5.2% year-over-year, down from February’s 6.0% rise. Earlier this month, an economic slowdown was blamed for the S&P 500’s lackluster performance.Illustration by TradingView"
Apr 062023,"SPX: S&P 500 Falls Further amid New Signs of Economic SlowdownRecession fears are back in play as investors offload risky stocks ahead of Friday’s NFP data.The S&P 500 index closed lower on Wednesday on renewed recession worries after the US economy released another concerning number. This time it was the ADP report showing that private employers added 145,000 jobs in March – below estimates for 205,000 hires.The gradual downshift was seen by analysts as fairly expected news and one of the first signs that the economy is producing cooler data, largely a result of the Federal Reserve’s rate hike campaign. The weak ADP report followed an underwhelming job openings figure published Tuesday.What lies ahead is the nonfarm payrolls report, or simply the jobs number. Slated for release on Friday, the print will show how many Americans found jobs in March. It will also help the Fed gauge the overall health of the economy as it plans its next rate hike move.Pop & Zebra / Unsplash"
Mar 302023,"SPX: S&P 500 Gains 1.4% as Tech Stocks Power UpUplifting mood spreads across equities on Wednesday with tech shares taking the lead.US stock indexes rose broadly on Wednesday buoyed higher by easing banking concerns. The S&P 500 added 1.4% to its valuation with all of its 11 sectors closing the session in the green. Its two peers, the Dow Jones and the Nasdaq Composite, added 1% and 1.8%, respectively.Technology stocks were in the lead as investors jumped at the chance to scoop up discounted shares. Apple, Tesla, Microsoft, Netflix, and Facebook parent Meta all gained 1.9% or more. Wall Street also showed increased appetite to hold banking stocks as recent fears waned.Why were tech shares leading the rally? Technology, part of the growth-stocks category, benefits most from a brighter economic outlook. Investors are betting that these tech firms will generate alpha returns at some point in the future and that’s why their valuation is based on stellar future performance.Mike Hindle  / Unsplash"
Mar 232023,"SPX: S&P 500 Leads Indexes Lower as Banks Stocks TumbleThe S&P 500, the Dow Jones, and the Nasdaq all dropped 1.6% or more on no slowdown in rate hikes.The S&P 500 led a broad-based decline on Wednesday as investors digested a Federal Reserve statement, followed by the Chair’s presser, and an alarming hearing from Treasury Secretary Janet Yellen. Let’s break it down and see what happened.Firstly, the US central bank hiked rates by 25 bps while many were calling for a no-hike event, citing the banking sector tumult. Fed Chair Jay Powell then blasted hopes for a slowdown, saying officials don’t plan to cut rates in 2023. But wait, that’s not all!Treasury Secretary Janet Yellen told the Senate she is not in favor of expanding the FDIC’s coverage for deposits above $250,000. That means bank failures just got super dangerous again. In this mix of events, the S&P 500 fell 1.65%, followed by the Dow’s 1.63% drop, and the Nasdaq’s 1.6% decline.Illustration by TradingView"
Mar 132023,"SPX: S&P 500 Selloff Deepens After Jobs Figures, SVB BustThe broad-based Wall Street average turned in its worst week since September, shook up by, well, a lot.The S&P 500 is battling strong economic headwinds and finance bros are coming up short weathering the storm. The 500-stock index dropped 1.45% on Friday, capping its worst week since September, unnerved by concerns about the US economy and its financial stability.On the one hand, a still-strong jobs market added 311,000 jobs in February - a hotter-than-expected figure, but cooler than January’s 504,000 (revised from 517,000). A continuously expanding labor force makes the Fed’s job of containing inflation increasingly difficult.To make matters worse, regulators shut down Silicon Valley Bank, formalizing the largest bank collapse in the US since the 2008 financial crisis. The meltdown caused fears to spread across Wall Street with investors on edge, wondering if there will be a next one to go bust.lo lo / Unsplash"
Mar 082023,"SPX: Bank Stocks Lead S&P 500 Drop as Powell Sparks SelloffFed Chief Powell made it clear investors should be on high alert. And they followed suit.Well, if it isn’t Fed chief Jay Powell to wreck everyone’s day. The central banker appeared for a testimony before the Senate and ended up bulldozing the stock market with a surprisingly hawkish tone. What’s more, he’s in for another round of remarks before the House today.The S&P 500 dropped 1.5% on Tuesday, alongside its peers - the Dow slipped 1.7% and the Nasdaq Composite retreated 1.2%. Driving the slide was Powell’s readiness to speed-up the pace of interest-rate increases. We have to thank strong economic growth that keeps fueling inflation.Delving deeper, the S&P 500’s financials sector (where the big banks are) tumbled 2.5% to its worst day since September. The selloff was broad-based as investors fled risky assets on prospects that higher rates will dent stock valuations in virtually every corner of the market.Illustration by TradingView"
Feb 272023,"S&P 500 drops as stocks log worst weekly loss of the yearUnfinished business for the Federal Reserve ahead – inflation may be stickier than expected.US equities were dealt a blow Friday after hot economic data sparked investor anxiety over the prospects of the Fed tackling inflation with more thorny rate hikes. The S&P 500 erased 1.1%, followed by the Dow Jones’s 1% decline. The Nasdaq tumbled 1.7% on the day.It’s been a tough week, albeit a shortened one, as all three Wall Street benchmarks wiped out 2% or more, each logging their sharpest weekly declines of 2023. Shares across the spectrum have soured after an optimistic start as reports point to the Fed’s unfinished business.The latest piece of data to dent investors’ enthusiasm was the Fed’s preferred inflation gauge – January’s personal-consumption-expenditures price index – which overshot above estimates, landing at 5.4% year-on-year. Could inflation be creeping up again?Illustration by TradingView"
Feb 202023,"S&P 500 slides as rate hike fears riseRenewed rate pressures kept a lid on optimism as the Wall Street average tumbled.The S&P 500 dropped for a second consecutive week after strong economic data and a surprising bump in one inflation gauge – retail sales - brought back fears of another sweeping round of rate hikes. The next one, potentially bigger-than-expected, is slated for March 22. The shifting investor sentiment led to a 0.3% weekly loss in the broad index of US stocks, with Thursday being the S&P 500’s worst day in a month. Across the spectrum – the 30-stock Dow logged its third straight week of losses, while the Nasdaq outperformed with a weekly gain of 0.6%.What happens next? Since there’s no stock market crystal ball, investors’ best bet will be to get more insights on Wednesday when Fed officials will reveal what they talked about in their latest meeting three weeks ago. Higher rates for longer, perhaps? We’ll have to wait and see.Sigmund / Unsplash"
Feb 132023,"Investors ease grip as S&P 500 logs losing weekThe US stock average turned in its worst weekly performance so far this yearMoney managers were unenthusiastic to hold risky stocks last week in a marked shift from optimism to what they would call “cautious optimism.” The American economy has been showing signs of overheating even after several jumbo-sized rate hikes and cooling inflation.The S&P 500 eked out a tiny 0.2% on Friday, but closed a losing week, after hugging the flatline for the most part of the last five trading sessions. The broad-based 500-stock index dropped 1.1% last week, its worst weekly performance so far in 2023.The earnings season, delivering widely underwhelming results, is more than halfway through, leading investors to drop their lofty expectations as fewer companies are topping analysts’ profit estimates than normal. In other words, the topsy-turvy world of Wall Street strikes again.Pedro Forester Da Silva / Unsplash"
Feb 072023,"Earnings-shmearningsLackluster quarterly financials weigh on the S&P 500.Wall Street’s blue-chip S&P 500 finished Monday down 0.6% as investors digested a slew of underwhelming corporate earnings reports. Over half of the companies in the broad-based index have filed Q4 earnings and the results are showing a 5.3% year-on-year decline.Adding to the dim sentiment over equity benchmarks is the latest US jobs report. More than half a million new jobs created in January raised the likelihood of further interest rate increases just as investors thought the Fed’s work to cool inflation was nearly done.Up ahead is another high-profile roster of companies slated to unveil their performance for the final three months of 2022. Among them are payments giant PayPal, entertainment veteran Walt Disney, and ride-hailing disruptor Uber Technologies.Amanda Jones / Unsplash"
Jan 312023,"It's a week for the geeksTraders are flocking to the safety of the dollar ahead of JPow’s rate announcement.As many as 100 members of the S&P 500 index are on tap to present earnings updates this week, after about a third of the companies in the broad-based average already delivered lackluster fourth-quarter results. Despite the index’s negative performance on Monday, 48 of last year’s 50 biggest decliners are up with an average gain of 17% in January.The roster of companies for this week’s quarterly updates includes tech giants Meta Platforms, Google parent Alphabet, Amazon, as well as McDonald’s, Ford, and Pfizer.What’s driving the narrative? Markets saw Big Tech leave the pandemic with record gains, in large part thanks to the Fed’s extraordinary monetary support. But the fallout rocketed inflation to its highest in the lifetime of anyone under 40. Price pressures have eased in the past couple of months, but that doesn’t necessarily mean stellar earnings as the tech industry in particular has been hit by slowing growth and sweeping layoffs. In a nutshell, there’s enough uncertainty to keep Wall Street on its toes.Illustration by TradingView"
Dec 152022,"Highest level in 15 yearsThe Fed isn’t backing down in its war against inflation, and its latest move marks a worrying milestone.The Federal Reserve raised interest rates by half a percentage point yesterday, taking its benchmark interest rate to the highest level seen in 15 years. It's a sign that despite the progress being made, there’s still much work to be done to bring inflation down to manageable levels. On the plus side, it has broken what was the most aggressive rate hike streak since the 1980s, by being the first half point hike after four consecutive three-quarter point hikes. That’s what’s caused markets to react less negatively to this hike than the previous four. As for what’s next, it’s looking like 2023 will continue to bring problems, with the Fed predicting the unemployment rate to reach 4.6% next year compared to its current rate of 3.7%. Although so far the Fed’s strategy has been working (albeit slowly), with the core CPI rate now sitting at 6% – it’s lowest level since December last year.AgnosticPreachersKid / Wikimedia Commons"
Dec 052022,"How big are these rain clouds, exactly?Papa Powell gave us all a lil bit of hope with his speech last week, but an economic data dump is here to rain on everyone’s parade. Friday’s nonfarm payrolls report showed continued strength in the labor market. November’s nonfarm payrolls rose over 263k, well above estimates for 200k, together with a 0.6% MoM increase in hourly earnings (double what was expected) and a flat unemployment rate of 3.7%.Wage increases will exacerbate any supply/demand imbalances in the labor market and contribute to stubbornly high inflation, particularly in the services sector where wages are a notable cost factor – services inflation is also half of the core personal consumption expenditures index (PCE), which is the Fed’s preferred inflation measure.It all means J-Pow’s dovish pivot could have to wait a few more months despite the Fed Chair saying the pace of tightening could ease slightly in December – strong wages are only good when inflation is near that 2% goal. All in all, major US indices closed the week marginally in the green and continue to see optimistic moves away from the bear market. AgnosticPreachersKid/ Wikimedia Commons"
Dec 012022,"Turning down the heatPowell has brought the markets an early Christmas present, with signs that the rate hike heat might be starting to ease. The Fed’s Jerome Powell said yesterday that it was time to begin slowing rate hikes, stating that they “don’t want to crash the economy, and then clean up afterward”. It’s a welcome piece of news, as four of its last meetings have concluded with drastic 75 bps rate hikes which each caused markets to spiral downwards.Major indexes weren't wasting any time in celebrating, with the S&P 500 and the Dow jumping by 3.1% and 2.18% respectively yesterday. The tech-driven Nasdaq, which has taken a 27% beating since the start of the year, saw even larger gains of 4.58% yesterday. Based on his comments, experts now predict that a 50 bps rate hike is likely at the next meeting in two weeks time.The good news came with a warning however, as Powell said that borrowing costs will need to remain restrictive for some time to come. He also warned that existing rate hikes won’t be reversed any time soon. Long story short – there’s still a difficult road ahead, but we might just be over the hump. Federalreserve/ Flickr"
Nov 242022,"A reason to celebrateThe Fed has brought the celebration to Thanksgiving this year with signals that their hawkish strategy might be eased. The Federal Reserve released their meeting minutes on Wednesday, and the comments indicate that future rate hikes could be beginning their dovish pivot – though that came with comments that indicated a recession will certainly hit in 2023. But we kinda knew that already. Market experts are now largely expecting only a 50bps hike in December after four straight hikes of 75bps. There was also a bunch of economic data released yesterday pointing to the potential for lower hikes on the way. US business activity contracted for the fifth month in a row, and the US Manufacturing PMI also dropped down to 47.6 – its first drop since the start of the pandemic. Many US equities and indices are enjoying a week in the green so far amid a shortened trading week, with the overall sentiment looking positive before the holidays. Investors are hoping all this could mean that the end of this brutal bear market could be approaching.Maryam Sicard / Unsplash"
Nov 112022,"We’ll take what we can getThe market’s been drowning in dire earnings reports and midterms-induced anxiety so investors grab onto bullish CPI news like it's the last life raft on the Titanic.Thursday was a good day, and it all started with CPI data, which ICYMI showed that inflation has at last begun to cool and is down to its lowest level since January – annual consumer price growth slowed to 7.7%, less than the 8% expected by analysts and easing from its four-decade high. It means the Fed has space to downshift from its aggressive rate hikes, though whether the agency will make use of that space is still to be seen. While this data is a step in the right direction, its levels remain way above what the Fed deems acceptable and speeches from various Fed governors yesterday indicate that the hawkishness ain’t over yet. The market had its best day in over two years. The S&P 500 jumped 5.5%, the Nasdaq lifted 7.5%, the Dow lifted 3.7% and the Russell 2K rallied 6.1%. The dollar index, on the other hand, has seen a massive change in trend and sentiment and suffered its worst day of trading since exiting the financial crisis in 2009, made worse by plummeting bond prices. One man's treasure...Illustration by TradingView"
Nov 032022,"Hikes wreak havocOnce again the Federal Reserve has put a dampener on economic outlooks, with yet another hike in interest rates tightening purse strings.The Fed has raised interest rates by 75bps to fight inflation. The move represents the sixth rate hike in a row which is the sharpest increase seen since the 1980’s, with any hope that the tension might be wearing off now dashed.Major indexes have been feeling the weight of the decision. The S&P 500 dropped by 2.29% on the news, while the Dow saw losses of 1.24%. The Nasdaq, a particularly prospective index, was hit especially badly with losses of 3.41%. Chairman Jerome Powell’s been staking a rock-steady stance on the battle against inflation. Although the hikes were largely telegraphed, markets have been spooked at suggestions that further hikes of 50bps could be on the way before December. Buckle up, folks. Maxim Hopman / Unsplash"
Oct 312022,"Inflation is still too highWith a few days until November’s rate hike, we just got the last piece of this month’s inflation puzzle and tensions are running hotter than on family game night. Personal Consumption Expenditures (PCE) data came out on Friday and there’s a bit to digest here, specifically in terms of what it might mean for Wednesday's rate hike. The PCE reading is a key measure of inflation for the Fed, and the index in September increased 0.5% from August and 5.1% from a year ago. It means inflation is still uncomfortably high but largely within expectations, though the reading does nothing for the dovish rate hike argument. Analysts are firmly expecting another 75bps hike on the way, though there is the chance that the Fed will pivot away from its hiking aggression after that – which many other countries already have. Investors seemed to focus on hope, sending markets rallying to finish the week. All four major indices notched their second week of gains and are firmly on track to close October in the green, with the Dow and its monthly jump of 14% leading the pack. Consumer sentiment also continues to creep up after its summer all-time lows, but Wednesday could change everything. Etienne Martin / Unsplash"
Oct 272022,"Yield curves’ red flagThe equities market and its feel good feeling comes tumbling down on Wednesday as the US Treasury market sets off all sorts of flashing alarms. A classic recession warning is flashing in the US Treasury market. On Wednesday, US government 3-month rates lifted above the yield on 10-year bonds, which is a pretty unusual crossing and is often regarded as one of the most reliable indicators that a recession is coming in the next 6 - 18 months. This indication has successfully forecast past recessions from the last few decades without raising any false alarms, especially those within Fed tightening cycles, but obviously nothing in the world of trading is a sure thing. We are currently in one of the worst Treasury routes in decades, with yields in the US bond market skyrocketing this year along with interest rates.Investors have a bit of a love hate relationship with the market this week. All four major US indices had been on somewhat of a pump earlier this week, logging three sessions of impressive gains that took prices to one-month highs. Wednesday started off looking good, but all four came tumbling down as the reality of a potential recession loomed once again.Zachary Keimig / Unsplash"
Oct 142022,"Back with a vengeanceScorching hot inflation data burns the market, but investors seem used to the heat by now and fire back with an absolute vengeance. Inflation in the US rose more than expected to touch a four-decade high, and the market had a veeeery mixed reaction. Headline CPI rose 0.4% MoM and 8.2% YoY, while core inflation (excluding volatile food and energy prices) lifted 0.6% MoM and 6.6% YoY for the biggest one-month increase in core inflation since August 1982. This cements fears that the Fed has no plans to pivot on its aggressive rate hikes, but at the same time there are those who think CPI is an unreliable inflation reading because of the lag in reporting – one such person is Cathie Wood, who’s made vocal her opinion that the Fed is looking at the wrong metrics to make decisions. What was really interesting to watch though was the market’s reaction. Stocks tanked – hard – following the release. All four major indices fell off a cliff, but shortly after came roaring back to close the day as one of the best of the year, with the SPX enjoying its most impressive intraday comeback since December 2008 on a percentage point basis. Some think investors are looking, others think people were covering their shorts, but either way it was a remarkable reversal.Dylan Calluy / Unsplash"
Oct 102022,"Intuition is a funny thingNonfarm payrolls data is out and whilst the good news might make you think “wohoo” for the economy, it’s not as great as you’d think for the market. Nonfarm payrolls increased 263k for September, coming in short of estimates for 275K, while the unemployment rate was down 3.5% to hit its lowest since 1969. It marks 21 straight months of job growth in the US, which is great in some respects but is the opposite of what the Fed is trying to achieve to lower inflation. Is it another nail in the coffin for a 75bps hike in November? The market’s may think so given all four major US indices finished Friday sharply lower and reversed gains from an earlier bull rally. When labor has the upper hand, workers have more bargaining power – that means upward inflationary pressure bc companies’ costs go up and therefore they raise their prices.The news extended rallies in the dollar and crude oil futures, which had their best week since Feb 2022, though that’s partly because the US plans to release more of its emergency oil supplies to offset OPEC production cuts. The decision comes despite concerns that emergency petroleum reserves are at their lowest levels in almost 40 years.Illustration by TradingView"
Oct 052022,"Is the labor gap closing?As the stock market starts Q4 on an absolute hot streak, we're handed data that shows the first sign of the labor market losing strength.JOLTS data has been released showing that job openings plunged by over a million in August, with available positions now totalling 10.05m and representing a 10% drop from 11.1m in July – coming in well below estimates for 11.1m. Despite the major drop, job openings remain high in relation to workers with the ratio to available workers at 1.7:1. The quits rate also remains elevated, and other measures of labor market stress remain historically low. Tech companies on the other hand are having to cut jobs as their growth slows.The market’s got off to a stellar start to the month. This week, the S&P 500 has gone up 5.7% and enjoyed its biggest two-day rally since March, the NASDAQ is up by 5.5%, the Dow has gained 5.5% and the Russell 2K has rallied 6.6% – but is the change in sentiment here to stay?AbsolutVision / Unsplash"
Oct 032022,"The Fed’s fave measure is upAs the third quarter wraps, US stocks continue to feel under pressure after Personal Consumption Expenditures (PCE) data shows people are still spending but also still paying more. PCE data on Friday showed a MoM increase of 0.6% in August, bringing its YoY reading to 4.9% (vs 4.7% expected) and becoming the latest dataset to prove inflation continues to accelerate. This is the Fed’s preferred inflation metric bc it excludes volatile energy and food prices, and this increase likely means the regulator will remain in tightening mode. The news brought down major indices to mark their third straight quarter of losses and see the worst September in 20 years for the S&P 500 after a 9.34% drop. For the month, the Nasdaq closed down 10.6% as risk assets sold off and left stocks like MSFT and GOOGL at 12-month lows, the Dow dumped 8.84% and the Russell 2K lost 9.37%. Big bad earnings season is nearly here, with a few companies like Nike getting the ball rolling on a worrying note last week. Analysts have been rushing to cut their year-end forecasts in light of, well, everything, as it dawns on them that Q4 will be worse than anyone expected and the R word (recession, duh) gets ushered more fervently.Kurtis Garbutt/ Unsplash"
Sep 282022,"The first decline in 10 yearsThe housing market fun we had during covid is over as prices decline for the first time in a decade, helping the S&P 500 hit fresh lows on Tuesday. National home prices cooled in July at the fastest rate in history, showed data from the S&P Case-Shiller Index on Tuesday – prices are still higher than they were a year ago (for now) but accelerated only 15.8% in July vs 18.1% in June. New home sales managed a small comeback but that’s forecast to drop back down swiftly. Tamping down the housing market is what the Fed wants because it’s so closely linked to consumer spending – if people don't feel financially confident, it’ll drive down their spending and reduce demand, helping cool inflation. But for us, the consumer, it doesn’t feel quite as good and analysts forecast it’ll get worse before it gets better with mortgage rates set to hit 7%. Falling stock markets have wiped out over $9tn in wealth from US households as equities endure a macro tsunami. The S&P 500 hit its lowest level in nearly two years on Wednesday, Goldman Sachs predicts another 2% drop before the end of the year for the index, and BlackRock says the markets haven’t even fully priced in rate hikes yet."
